CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION,ESTADO_LICENCIAMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,FECHA_CORTE
  024,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,LINCE,140111,-12.0828451,-77.0345819,17/08/2022
  031,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,PÚBLICO,LICENCIA DENEGADA,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,130301,-06.707069414,-79.90669663,17/08/2022
  036,UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,PRIVADO,LICENCIA DENEGADA,PUNO,SAN ROMÁN,JULIACA,200901,-15.532748,-70.118667,17/08/2022
  044,UNIVERSIDAD PARTICULAR DE CHICLAYO,PRIVADO,LICENCIA DENEGADA,LAMBAYEQUE,CHICLAYO,PIMENTEL,130110,-06.790111,-79.8783334,17/08/2022
  045,UNIVERSIDAD SAN PEDRO,PRIVADO,LICENCIA DENEGADA,ÁNCASH,SANTA,CHIMBOTE,21301,-09.076107052,-78.5944451,17/08/2022
  048,UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,PRIVADO,LICENCIA DENEGADA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,170101,-17.1900294,-70.9423867,17/08/2022
  050,UNIVERSIDAD CIENTÍFICA DEL PERÚ,PRIVADO,LICENCIA DENEGADA,LORETO,MAYNAS,SAN JUAN BAUTISTA,150113,-03.769188297,-73.28203694,17/08/2022
  053,UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE,PRIVADO,LICENCIA DENEGADA,ÁNCASH,SANTA,CHIMBOTE,21301,-09.073847881,-78.59355615,17/08/2022
058,UNIVERSIDAD ALAS PERUANAS S.A.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,JESÚS MARÍA,140133,-12.08137781,-77.04667389,17/08/2022
063,GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,PRIVADO,LICENCIA DENEGADA,ICA,ICA,ICA,100101,-14.0767829,-75.7338981,17/08/2022
070,UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.,PRIVADO,LICENCIA DENEGADA,CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,-07.156522,-78.5145522,17/08/2022
078,UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,LIMA,140101,-12.0630477,-77.0380365,17/08/2022
081,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,LINCE,140111,-12.08794324,-77.03352126,17/08/2022
083,UNIVERSIDAD PRIVADA TELESUP S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,LIMA,140101,-12.0640089,-77.0345749,17/08/2022
085,UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,PRIVADO,LICENCIA DENEGADA,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,140401,-13.07308595,-76.36939859,17/08/2022
086,UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.,PRIVADO,LICENCIA DENEGADA,UCAYALI,CORONEL PORTILLO,CALLERIA,250101,-08.388089,-74.531292,17/08/2022
